,antecedents,consequents,support,confidence,lift
195,"frozenset({'win', 'no_fb'})",frozenset({'Blue'}),0.1825155447418221,0.5265569551144562,1.0531139102289124
538,"frozenset({'lose', 'no_fb', 'mid'})",frozenset({'Red'}),0.03839551230062179,0.5260185185185186,1.052037037037037
443,"frozenset({'win', 'jng', 'no_fb'})",frozenset({'Blue'}),0.028636117869694513,0.5260086902545003,1.0520173805090005
353,"frozenset({'bot', 'no_fb'})",frozenset({'lose'}),0.07151257096512571,0.5259992046132432,1.0519130959178151
2,frozenset({'Alistar'}),frozenset({'win'}),0.010124357934576913,0.5256140350877193,1.051313334841687
554,"frozenset({'top', 'lose', 'no_fb'})",frozenset({'Red'}),0.03871992430386591,0.5256445545462886,1.0512891090925771
123,"frozenset({'Alistar', 'sup'})",frozenset({'win'}),0.010110840767775074,0.5254654021777309,1.0510160449106045
527,"frozenset({'lose', 'jng', 'Red'})",frozenset({'no_fb'}),0.03459718842930522,0.7880233990147784,1.0495817920767914
51,frozenset({'Olaf'}),frozenset({'no_fb'}),0.010056772100567721,0.787718369507676,1.0491755180789621
466,"frozenset({'win', 'no_fb', 'mid'})",frozenset({'Blue'}),0.03491484184914842,0.5244670050761422,1.0489340101522844
268,"frozenset({'lose', 'fb'})",frozenset({'Red'}),0.050229791835631254,0.523970671178793,1.047941342357586
476,"frozenset({'win', 'no_fb', 'team'})",frozenset({'Blue'}),0.016943768586104354,0.5238194734642708,1.0476389469285416
519,"frozenset({'lose', 'fb', 'team'})",frozenset({'Red'}),0.016909975669099755,0.5235404896421846,1.0470809792843692
487,"frozenset({'bot', ""Kai'Sa""})","frozenset({'Red', 'no_fb'})",0.011746417950797512,0.3949102476709838,1.0466801656139502
304,"frozenset({'Red', 'sup'})",frozenset({'no_fb'}),0.06548391457150582,0.7858069748580698,1.0466296989773873
373,"frozenset({'lose', 'jng'})",frozenset({'no_fb'}),0.06547039740470398,0.785581055875436,1.0463287936350416
380,"frozenset({'no_fb', 'mid'})",frozenset({'lose'}),0.072992700729927,0.5230024213075061,1.0459200153631578
222,"frozenset({""Kai'Sa""})","frozenset({'Red', 'no_fb'})",0.011753176534198433,0.39424166855588305,1.044908146520886
188,frozenset({'sup'}),"frozenset({'Blue', 'no_fb'})",0.06493646931603136,0.3896188158961882,1.0431572661636177
437,"frozenset({'lose', 'jng', 'Blue'})",frozenset({'no_fb'}),0.030873208975398757,0.7828620394173094,1.0427072892858373
111,frozenset({'sup'}),frozenset({'no_fb'}),0.13042038388753718,0.7825223033252231,1.0422547889961113
306,frozenset({'sup'}),"frozenset({'Red', 'no_fb'})",0.06548391457150582,0.3929034874290349,1.0413613972234663
389,"frozenset({'top', 'no_fb'})",frozenset({'lose'}),0.07366180048661801,0.5203628550966818,1.0406413110602688
230,"frozenset({'bot', ""Kai'Sa""})",frozenset({'win'}),0.015463638821303055,0.5198818450352193,1.0398480248656425
88,frozenset({'Viego'}),frozenset({'no_fb'}),0.01113138686131387,0.7805687203791469,1.0396527785836327
38,"frozenset({""Kai'Sa""})",frozenset({'win'}),0.015490673154906731,0.5196100657447291,1.0393044221968546
69,frozenset({'Rell'}),frozenset({'no_fb'}),0.01299675587996756,0.7794892582083502,1.038215024525669
186,"frozenset({'Blue', 'sup'})",frozenset({'no_fb'}),0.06493646931603136,0.7792376317923764,1.0378798790148351
323,"frozenset({'Rell', 'sup'})",frozenset({'no_fb'}),0.012976480129764802,0.7792207792207793,1.0378574327875782
439,"frozenset({'jng', 'Blue', 'no_fb'})",frozenset({'lose'}),0.030873208975398757,0.5187961385576377,1.037508132092397
464,"frozenset({'top', 'Blue'})","frozenset({'lose', 'no_fb'})",0.034941876182752095,0.41930251419302517,1.0374234975418883
250,"frozenset({'Nautilus', 'sup'})",frozenset({'no_fb'}),0.01387537172208705,0.7785362153962836,1.0369456505656247
48,frozenset({'Nautilus'}),frozenset({'no_fb'}),0.013888888888888888,0.7778198334595003,1.0359914892577746
384,frozenset({'sup'}),"frozenset({'lose', 'no_fb'})",0.0694985131116518,0.4169910786699108,1.0317046252633693
414,"frozenset({'win', 'Blue', 'bot'})",frozenset({'no_fb'}),0.03397539875642065,0.7739799846035411,1.0308771291403207
473,"frozenset({'win', 'sup'})","frozenset({'Blue', 'no_fb'})",0.03208299540416329,0.3850271717089789,1.0308636940821259
355,"frozenset({'win', 'bot'})",frozenset({'no_fb'}),0.06444309272776426,0.7733798361586504,1.0300777812007949
73,frozenset({'Renekton'}),frozenset({'win'}),0.010266288185996215,0.5149152542372881,1.0299140375936024
509,"frozenset({'Red', 'win', 'bot'})",frozenset({'no_fb'}),0.030467693971343607,0.7727116900925608,1.0291878660710003
531,"frozenset({'Red', 'jng'})","frozenset({'lose', 'no_fb'})",0.03459718842930522,0.4151662611516626,1.0271897260961171
451,"frozenset({'Blue', 'mid'})","frozenset({'lose', 'no_fb'})",0.03459718842930522,0.4151662611516626,1.0271897260961171
233,"frozenset({'no_fb', ""Kai'Sa""})",frozenset({'lose'}),0.012165450121654502,0.5113636363636364,1.0226443332030877
79,frozenset({'Thresh'}),frozenset({'no_fb'}),0.016112462827791295,0.7677938808373591,1.022637752130704
172,"frozenset({'Blue', 'no_fb'})",frozenset({'lose'}),0.19098404974317382,0.5113366990572354,1.022590462959324
173,frozenset({'lose'}),"frozenset({'Blue', 'no_fb'})",0.19098404974317382,0.3819371232395318,1.022590462959324
336,"frozenset({'Thresh', 'sup'})",frozenset({'no_fb'}),0.01607191132738578,0.7675919948353777,1.022368856724781
492,"frozenset({'bot', ""Kai'Sa"", 'no_fb'})",frozenset({'lose'}),0.012138415788050824,0.5109530583214793,1.0218232437115953
140,"frozenset({'bot', 'fb'})",frozenset({'Blue'}),0.015686672073533386,0.5107834507042254,1.0215669014084507
151,"frozenset({'fb', 'mid'})",frozenset({'Blue'}),0.013821303054879698,0.5099750623441397,1.0199501246882794
148,"frozenset({'jng', 'fb'})",frozenset({'Blue'}),0.023824006488240065,0.5095403295750217,1.0190806591500434
155,"frozenset({'fb', 'team'})",frozenset({'Blue'}),0.042342525006758586,0.5084401882811233,1.0168803765622465
308,"frozenset({'no_fb', 'team'})",frozenset({'Red'}),0.042396593673965935,0.5084292429891392,1.0168584859782783
575,"frozenset({'top', 'win'})","frozenset({'Red', 'no_fb'})",0.03193430656934307,0.38324276097007065,1.0157563620802805
12,frozenset({'fb'}),frozenset({'Blue'}),0.12650040551500405,0.507620958993274,1.015241917986548
152,"frozenset({'sup', 'fb'})",frozenset({'Blue'}),0.018396864017301975,0.5075517434271863,1.0151034868543727
480,"frozenset({'top', 'Blue', 'no_fb'})",frozenset({'win'}),0.03596242227629089,0.5071966447431131,1.0144755664989187
339,"frozenset({'Thresh', 'sup'})",frozenset({'win'}),0.010604217356042174,0.5064557779212395,1.0129937126723794
6,"frozenset({""Kai'Sa""})",frozenset({'Blue'}),0.01508515815085158,0.5060077080027204,1.0120154160054409
132,"frozenset({'no_fb', ""Kai'Sa""})",frozenset({'Blue'}),0.012037037037037037,0.5059659090909091,1.0119318181818182
454,"frozenset({'Blue', 'sup', 'no_fb'})",frozenset({'lose'}),0.032853473911868075,0.505932556203164,1.011783053764498
81,frozenset({'Thresh'}),frozenset({'win'}),0.010610975939443093,0.5056360708534622,1.0113541655646343
128,"frozenset({'bot', ""Kai'Sa""})",frozenset({'Blue'}),0.015037848067045147,0.5055669166098613,1.0111338332197226
403,"frozenset({'bot', ""Kai'Sa"", 'no_fb'})",frozenset({'Blue'}),0.01201000270343336,0.505547652916074,1.011095305832148
55,frozenset({'Thresh'}),frozenset({'Red'}),0.010604217356042174,0.5053140096618358,1.0106280193236716
257,"frozenset({'Thresh', 'sup'})",frozenset({'Red'}),0.010577183022438498,0.5051646223369917,1.0103292446739833
275,"frozenset({'top', 'fb'})",frozenset({'Red'}),0.012679102460124358,0.5049798115746972,1.0099596231493944
494,"frozenset({'bot', ""Kai'Sa""})","frozenset({'lose', 'no_fb'})",0.012138415788050824,0.4080890706657577,1.0096795909117675
234,"frozenset({""Kai'Sa""})","frozenset({'lose', 'no_fb'})",0.012165450121654502,0.4080707322602585,1.0096342186754264
245,"frozenset({'Leona', 'sup'})",frozenset({'no_fb'}),0.018045417680454177,0.7574468085106383,1.0088563101976276
44,frozenset({'Leona'}),frozenset({'no_fb'}),0.018052176263855097,0.7573008222285229,1.008661868581055
282,"frozenset({'jng', 'no_fb'})",frozenset({'Red'}),0.0604014598540146,0.5037199864727765,1.007439972945553
562,"frozenset({'win', 'mid'})","frozenset({'Red', 'no_fb'})",0.03165720464990538,0.37991726822937794,1.0069423915310123
62,frozenset({'Red'}),frozenset({'no_fb'}),0.3772979183563125,0.754595836712625,1.0050590522828748
63,frozenset({'no_fb'}),frozenset({'Red'}),0.3772979183563125,0.5025295261414374,1.0050590522828748
263,"frozenset({'bot', 'no_fb'})",frozenset({'Red'}),0.06830900243309003,0.5024358719427322,1.0048717438854644
467,"frozenset({'Blue', 'mid', 'no_fb'})",frozenset({'win'}),0.03491484184914842,0.5022848808945066,1.0046512420195095
416,"frozenset({'Blue', 'bot', 'no_fb'})",frozenset({'win'}),0.03397539875642065,0.5022479768208612,1.004577427885671
305,"frozenset({'no_fb', 'sup'})",frozenset({'Red'}),0.06548391457150582,0.5020987718298181,1.0041975436596362
300,"frozenset({'no_fb', 'mid'})",frozenset({'Red'}),0.07005271695052717,0.5019370460048427,1.0038740920096854
43,frozenset({'Leona'}),frozenset({'lose'}),0.011942416869424169,0.5009923447689255,1.0019034321629798
192,"frozenset({'top', 'no_fb'})",frozenset({'Blue'}),0.07090429845904299,0.5008832656958702,1.0017665313917403
242,"frozenset({'Leona', 'sup'})",frozenset({'lose'}),0.01192889970262233,0.500709219858156,1.0013372282622761
497,"frozenset({'win', 'bot', ""Kai'Sa""})",frozenset({'no_fb'}),0.011618004866180049,0.7513111888111889,1.0006841737766772
56,frozenset({'bot'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
19,frozenset({'sup'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
21,frozenset({'top'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
108,frozenset({'top'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
16,frozenset({'mid'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
65,frozenset({'team'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
13,frozenset({'jng'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
64,frozenset({'sup'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
66,frozenset({'top'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
11,frozenset({'bot'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
107,frozenset({'team'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
106,frozenset({'sup'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
92,frozenset({'bot'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
61,frozenset({'mid'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
103,frozenset({'mid'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
58,frozenset({'jng'}),frozenset({'Red'}),0.08333333333333333,0.5,1.0
100,frozenset({'jng'}),frozenset({'lose'}),0.08334009191673425,0.5000405515004055,1.0
20,frozenset({'team'}),frozenset({'Blue'}),0.08333333333333333,0.5,1.0
